b_probability = 0.981930, existing_time = 1204.200380, program_time = 1.431612, a = 0, b = 100, x = 50, N = 100000, p = 0.520000, P = 1
b_probability = 0.981930, existing_time = 1204.200380, program_time = 0.743030, a = 0, b = 100, x = 50, N = 100000, p = 0.520000, P = 2
b_probability = 0.981930, existing_time = 1204.200380, program_time = 0.399903, a = 0, b = 100, x = 50, N = 100000, p = 0.520000, P = 4
b_probability = 0.981930, existing_time = 1204.200380, program_time = 0.266708, a = 0, b = 100, x = 50, N = 100000, p = 0.520000, P = 8
b_probability = 0.981930, existing_time = 1204.200380, program_time = 0.273936, a = 0, b = 100, x = 50, N = 100000, p = 0.520000, P = 16
b_probability = 0.880860, existing_time = 1910.016620, program_time = 2.231057, a = 0, b = 100, x = 50, N = 100000, p = 0.510000, P = 1
b_probability = 0.880860, existing_time = 1910.016620, program_time = 1.186042, a = 0, b = 100, x = 50, N = 100000, p = 0.510000, P = 2
b_probability = 0.880860, existing_time = 1910.016620, program_time = 0.609804, a = 0, b = 100, x = 50, N = 100000, p = 0.510000, P = 4
b_probability = 0.880860, existing_time = 1910.016620, program_time = 0.418663, a = 0, b = 100, x = 50, N = 100000, p = 0.510000, P = 8
b_probability = 0.880860, existing_time = 1910.016620, program_time = 0.423684, a = 0, b = 100, x = 50, N = 100000, p = 0.510000, P = 16
b_probability = 0.813520, existing_time = 2075.556940, program_time = 2.470584, a = 0, b = 100, x = 40, N = 100000, p = 0.510000, P = 1
b_probability = 0.813520, existing_time = 2075.556940, program_time = 1.298422, a = 0, b = 100, x = 40, N = 100000, p = 0.510000, P = 2
b_probability = 0.813520, existing_time = 2075.556940, program_time = 0.660233, a = 0, b = 100, x = 40, N = 100000, p = 0.510000, P = 4
b_probability = 0.813520, existing_time = 2075.556940, program_time = 0.455382, a = 0, b = 100, x = 40, N = 100000, p = 0.510000, P = 8
b_probability = 0.813520, existing_time = 2075.556940, program_time = 0.459453, a = 0, b = 100, x = 40, N = 100000, p = 0.510000, P = 16
b_probability = 0.734970, existing_time = 576.618460, program_time = 0.694507, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1
b_probability = 0.734970, existing_time = 576.618460, program_time = 0.362607, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2
b_probability = 0.734970, existing_time = 576.618460, program_time = 0.190366, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4
b_probability = 0.734970, existing_time = 576.618460, program_time = 0.134880, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8
b_probability = 0.734970, existing_time = 576.618460, program_time = 0.133299, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16
b_probability = 0.390920, existing_time = 460.656060, program_time = 0.570098, a = 0, b = 50, x = 10, N = 100000, p = 0.510000, P = 1
b_probability = 0.390920, existing_time = 460.656060, program_time = 0.298474, a = 0, b = 50, x = 10, N = 100000, p = 0.510000, P = 2
b_probability = 0.390920, existing_time = 460.656060, program_time = 0.159146, a = 0, b = 50, x = 10, N = 100000, p = 0.510000, P = 4
b_probability = 0.390920, existing_time = 460.656060, program_time = 0.108322, a = 0, b = 50, x = 10, N = 100000, p = 0.510000, P = 8
b_probability = 0.390920, existing_time = 460.656060, program_time = 0.107048, a = 0, b = 50, x = 10, N = 100000, p = 0.510000, P = 16
